matrix dimension,Strassen,Standard
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
20,1,0
20,1,0
20,1,0
20,1,0
20,1,0
30,5,0
30,4,0
30,4,0
30,4,0
30,4,0
40,7,0
40,6,0
40,6,0
40,6,0
40,7,0
50,31,0
50,30,0
50,30,0
50,30,0
50,31,0
60,35,0
60,34,0
60,33,0
60,37,0
60,36,0
70,46,1
70,51,1
70,46,1
70,43,1
70,46,1
80,52,2
80,51,1
80,48,1
80,48,1
80,48,1
90,52,2
90,54,2
90,50,2
90,58,2
90,52,2
100,224,3
100,217,3
100,219,3
100,217,3
100,222,3
110,228,5
110,226,4
110,226,4
110,223,4
110,231,4
120,230,5
120,227,5
120,223,5
120,228,5
120,226,5
130,308,7
130,315,7
130,313,7
130,311,7
130,310,8
140,315,9
140,310,9
140,314,9
140,316,9
140,309,9
150,323,12
150,320,12
150,314,11
150,314,11
150,319,12
160,341,14
160,345,14
160,343,14
160,338,15
160,355,14
170,346,17
170,347,17
170,352,17
170,346,17
170,343,17
180,352,20
180,348,23
180,354,22
180,356,20
180,352,20
190,361,24
190,357,24
190,356,23
190,359,24
190,353,24
200,1537,40
200,1536,40
200,1546,40
200,1552,44
200,1553,39
210,1574,46
210,1580,46
210,1573,47
210,1572,45
210,1568,46
220,1572,53
220,1580,53
220,1575,53
220,1587,54
220,1572,57
230,1614,61
230,1602,60
230,1596,61
230,1597,61
230,1599,61
240,1610,70
240,1621,70
240,1621,72
240,1608,69
240,1620,70
250,1636,79
250,1617,82
250,1618,79
250,1613,79
250,1606,80
260,2230,71
260,2214,70
260,2227,73
260,2253,71
260,2204,73
270,2217,83
270,2218,83
270,2220,83
270,2217,80
270,2217,81
280,2226,91
280,2228,93
280,2255,104
280,2230,91
280,2209,91
290,2247,102
290,2214,101
290,2210,99
290,2208,111
290,2207,103
300,2226,115
300,2220,115
300,2223,111
300,2220,112
300,2224,114
310,2221,121
310,2225,126
310,2225,133
310,2224,123
310,2221,124
320,2397,138
320,2417,140
320,2433,136
320,2418,144
320,2444,139
330,2431,165
330,2429,183
330,2435,178
330,2479,180
330,2450,179
340,2470,186
340,2475,199
340,2466,196
340,2469,196
340,2465,196
350,2471,213
350,2500,214
350,2480,218
350,2494,184
350,2502,216
360,2507,214
360,2509,217
360,2499,230
360,2492,237
360,2496,215
370,2522,257
370,2555,213
370,2539,234
370,2532,255
370,2529,236
380,2537,247
380,2544,251
380,2544,251
380,2555,276
380,2541,279
390,10807,270
390,10775,266
390,10731,275
390,10818,269
390,10873,350
400,11397,313
400,11198,324
400,10794,289
400,10818,294
400,10807,285
410,10770,320
410,10783,313
410,10775,313
410,10770,316
410,10844,321
420,10886,343
420,10985,343
420,10884,338
420,10833,339
420,10912,339
430,10939,369
430,10893,372
430,10851,380
430,10879,377
430,10891,378
440,10919,401
440,10877,388
440,10910,409
440,10874,399
440,10949,407
450,11082,458
450,11020,439
450,11349,464
450,11054,453
450,11020,452
460,11117,499
460,11072,500
460,11073,497
460,11058,513
460,11048,495
470,11110,533
470,11145,513
470,11074,533
470,11133,531
470,11081,532
480,11272,572
480,11209,575
480,11128,564
480,11152,575
480,11137,548
490,11130,606
490,11226,611
490,11149,587
490,11143,603
490,11364,610
500,11222,643
500,11191,660
500,11238,626
500,11258,636
500,11203,620
510,11214,694
510,11426,678
510,11194,695
510,11206,656
510,12492,760
520,15917,703
520,15713,685
520,15361,691
520,15506,716
520,15530,708
530,15492,734
530,15525,725
530,15411,747
530,15422,727
530,15423,721
540,15464,761
540,15569,763
540,15487,767
540,15638,760
540,15507,772
550,15554,815
550,15381,818
550,15401,811
550,15364,839
550,15388,842
560,15451,859
560,15395,856
560,15411,859
560,15501,849
560,15373,858
570,15392,911
570,15386,914
570,15364,904
570,15618,918
570,15338,915
580,15525,1015
580,15439,1047
580,15551,1002
580,15504,1002
580,15536,957
590,15583,1020
590,15559,1024
590,15516,1077
590,15657,1010
590,15576,1029
600,15575,1153
600,15660,1107
600,15559,1089
600,15575,1080
600,15597,1106
610,15661,1192
610,15579,1121
610,15621,1130
610,16472,1478
610,16162,1147
620,15661,1242
620,15703,1243
620,15698,1261
620,15729,1182
620,15700,1183
630,15908,1251
630,15963,1242
630,15921,1240
630,15948,1260
630,15936,1316
640,17829,1387
640,16853,1312
640,17144,1289
640,16882,1355
640,16862,1380
650,16947,1373
650,17052,1390
650,16958,1378
650,17107,1527
650,16848,1379
660,16889,1435
660,16875,1442
660,16970,1455
660,16925,1436
660,16971,1486
670,17062,1524
670,16986,1513
670,16998,1512
670,17016,1533
670,16990,1508
680,17156,1586
680,17205,1615
680,17145,1651
680,19124,1740
680,17177,1616
690,17162,1665
690,17227,1658
690,17191,1665
690,17274,1666
690,17144,1674
700,17264,1744
700,17296,1732
700,17241,1759
700,17186,1760
700,17185,1761
710,17386,1855
710,17383,1842
710,17399,1791
710,17526,1875
710,17371,1874
720,17550,1885
720,17463,1961
720,17394,1918
720,17419,1933
720,17441,1917
730,17488,1951
730,17484,2099
730,17518,2017
730,17540,2089
730,17494,1968
740,17571,2183
740,17576,2136
740,17702,2152
740,17782,2234
740,17914,2117
750,17667,2240
750,17779,2348
750,17639,2164
750,17609,2152
750,17710,2241
760,17790,2238
760,17692,2294
760,17863,2303
760,17957,2343
760,17643,2298
770,97402,2399
770,85290,2374
770,84002,2426
